userId,tconst,rating,clusterId
1,tt0114709,4.0,155
1,tt0113228,4.0,155
1,tt0113277,4.0,155
1,tt0114369,5.0,155
1,tt0114814,5.0,155
1,tt0116367,3.0,155
1,tt0115734,5.0,155
1,tt0112573,4.0,155
1,tt0114287,5.0,155
1,tt0109370,5.0,155
1,tt0112851,5.0,155
1,tt0112508,5.0,155
1,tt0109445,3.0,155
1,tt0109686,5.0,155
1,tt0109707,4.0,155
1,tt0076759,5.0,155
1,tt0110912,3.0,155
1,tt0111282,3.0,155
1,tt0114694,5.0,155
1,tt0109444,4.0,155
1,tt0109830,4.0,155
1,tt0110213,5.0,155
1,tt0110475,4.0,155
1,tt0109303,3.0,155
1,tt0106677,4.0,155
1,tt0106977,5.0,155
1,tt0107290,4.0,155
1,tt0107614,3.0,155
1,tt0108052,5.0,155
1,tt0108174,4.0,155
1,tt0108333,4.0,155
1,tt0108358,5.0,155
1,tt0099348,4.0,155
1,tt0096895,4.0,155
1,tt0102926,4.0,155
1,tt0032910,5.0,155
1,tt0116282,5.0,155
1,tt0117060,3.0,155
1,tt0116683,5.0,155
1,tt0117705,3.0,155
1,tt0117500,4.0,155
1,tt0117998,3.0,155
1,tt0116629,3.0,155
1,tt0117628,4.0,155
1,tt0032138,5.0,155
1,tt0033467,5.0,155
1,tt0029843,5.0,155
1,tt0039420,4.0,155
1,tt0031679,5.0,155
1,tt0072951,3.0,155
1,tt0063819,5.0,155
1,tt0038166,5.0,155
1,tt0057546,5.0,155
1,tt0033563,5.0,155
1,tt0076538,3.0,155
1,tt0066817,5.0,155
1,tt0043274,5.0,155
1,tt0117887,4.0,155
1,tt0116409,5.0,155
1,tt0117802,4.0,155
1,tt0067992,5.0,155
1,tt0079470,5.0,155
1,tt0105236,5.0,155
1,tt0091763,4.0,155
1,tt0103772,5.0,155
1,tt0083866,5.0,155
1,tt0096754,4.0,155
1,tt0071853,5.0,155
1,tt0080684,5.0,155
1,tt0093779,5.0,155
1,tt0082971,5.0,155
1,tt0066921,5.0,155
1,tt0078788,4.0,155
1,tt0086190,5.0,155
1,tt0099685,5.0,155
1,tt0078748,4.0,155
1,tt0054215,2.0,155
1,tt0080455,5.0,155
1,tt0093058,5.0,155
1,tt0097499,5.0,155
1,tt0045061,5.0,155
1,tt0088247,5.0,155
1,tt0023969,5.0,155
1,tt0081505,3.0,155
1,tt0107048,4.0,155
1,tt0088763,5.0,155
1,tt0091203,5.0,155
1,tt0072431,5.0,155
1,tt0032455,5.0,155
1,tt0097576,5.0,155
1,tt0084503,5.0,155
1,tt0013442,4.0,155
1,tt0103776,3.0,155
1,tt0105435,3.0,155
1,tt0104691,3.0,155
1,tt0119640,3.0,155
1,tt0118702,4.0,155
1,tt0119229,4.0,155
1,tt0118655,5.0,155
1,tt0118880,4.0,155
1,tt0119094,5.0,155
1,tt0119654,3.0,155
1,tt0082198,5.0,155
1,tt0119488,5.0,155
1,tt0119468,4.0,155
1,tt0119174,5.0,155
1,tt0119345,3.0,155
1,tt0120201,3.0,155
1,tt0118715,5.0,155
1,tt0120888,4.0,155
1,tt0120491,4.0,155
1,tt0120769,5.0,155
1,tt0120890,4.0,155
1,tt0122718,4.0,155
1,tt0020629,5.0,155
1,tt0075148,5.0,155
1,tt0091369,4.0,155
1,tt0093409,4.0,155
1,tt0089218,5.0,155
1,tt0099088,4.0,155
1,tt0034492,5.0,155
1,tt0120815,4.0,155
1,tt0088814,5.0,155
1,tt0091059,4.0,155
1,tt0091149,5.0,155
1,tt0097523,4.0,155
1,tt0120768,5.0,155
1,tt0061852,5.0,155
1,tt0076618,5.0,155
1,tt0089908,3.0,155
1,tt0102803,5.0,155
1,tt0053285,4.0,155
1,tt0038969,4.0,155
1,tt0084827,4.0,155
1,tt0087469,5.0,155
1,tt0077869,5.0,155
1,tt0070016,5.0,155
1,tt0084649,5.0,155
1,tt0090633,5.0,155
1,tt0089469,4.0,155
1,tt0088323,5.0,155
1,tt0094721,4.0,155
1,tt0096446,4.0,155
1,tt0105629,2.0,155
1,tt0104257,4.0,155
1,tt0120812,4.0,155
1,tt0099487,5.0,155
1,tt0120586,5.0,155
1,tt0130018,2.0,155
1,tt0120660,5.0,155
1,tt0024216,4.0,155
1,tt0124198,5.0,155
1,tt0155975,2.0,155
1,tt0128445,5.0,155
1,tt0088011,4.0,155
1,tt0090357,3.0,155
1,tt0120863,5.0,155
1,tt0091225,4.0,155
1,tt0072271,5.0,155
1,tt0090555,5.0,155
1,tt0092086,4.0,155
1,tt0138987,4.0,155
1,tt0151804,5.0,155
1,tt0074812,3.0,155
1,tt0063442,5.0,155
1,tt0120735,5.0,155
1,tt0133093,5.0,155
1,tt0139239,5.0,155
1,tt0133189,5.0,155
1,tt0099422,4.0,155
1,tt0120616,2.0,155
1,tt0120915,4.0,155
1,tt0078346,4.0,155
1,tt0081573,5.0,155
1,tt0021814,4.0,155
1,tt0021884,4.0,155
1,tt0034398,5.0,155
1,tt0073629,3.0,155
1,tt0130827,5.0,155
1,tt0158983,5.0,155
1,tt0087332,5.0,155
1,tt0129167,5.0,155
1,tt0094737,4.0,155
1,tt0120657,4.0,155
1,tt0169547,5.0,155
1,tt0082348,5.0,155
1,tt0031397,5.0,155
1,tt0100802,4.0,155
1,tt0061578,5.0,155
1,tt0058150,5.0,155
1,tt0057076,5.0,155
1,tt0055928,5.0,155
1,tt0137523,5.0,155
1,tt0093870,4.0,155
1,tt0096438,5.0,155
1,tt0070328,5.0,155
1,tt0059800,5.0,155
1,tt0120601,4.0,155
